GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cb-discussion-service,com.igot.cb.pores.util,PayloadValidation,0,118,0,10,0,26,0,9,0,4
cb-discussion-service,com.igot.cb.pores.util,JsonSchemaCache,0,66,0,2,0,15,0,5,0,4
cb-discussion-service,com.igot.cb.pores.util,ApiRespParam,0,47,0,0,0,21,0,12,0,12
cb-discussion-service,com.igot.cb.pores.util,DiscussionServiceUtil,10,54,1,1,4,15,2,5,1,5
cb-discussion-service,com.igot.cb.discussion.entity,DiscussionEntity,0,94,0,0,0,17,0,17,0,17
cb-discussion-service,com.igot.cb.discussion.entity,CommunityEntity,0,66,0,0,0,9,0,14,0,14
cb-discussion-service,com.igot.cb.discussion.entity,DiscussionAnswerPostReplyEntity,0,76,0,0,0,10,0,16,0,16
cb-discussion-service,com.igot.cb.profanity.consumer,ProfanityConsumer.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
cb-discussion-service,com.igot.cb.profanity.consumer,ProfanityConsumer.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
cb-discussion-service,com.igot.cb.profanity.consumer,ProfanityConsumer,0,318,0,20,0,65,0,16,0,6
cb-discussion-service,com.igot.cb.transactional.service,RequestHandlerServiceImpl.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
cb-discussion-service,com.igot.cb.transactional.service,RequestHandlerServiceImpl,9,153,0,8,2,28,0,6,0,2
cb-discussion-service,com.igot.cb.authentication.util,KeyManager,41,90,0,0,9,22,2,5,2,5
cb-discussion-service,com.igot.cb.authentication.util,AccessTokenValidator,111,118,16,6,21,34,11,8,2,6
cb-discussion-service,com.igot.cb.authentication.util,AccessTokenValidator.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
cb-discussion-service,com.igot.cb.authentication.util,AccessTokenValidator.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
cb-discussion-service,com.igot.cb.authentication.util,CryptoUtil,0,31,0,0,0,9,0,2,0,2
cb-discussion-service,com.igot.cb.authentication.util,Base64Util.Decoder,144,2275,27,28,38,54,21,15,1,3
cb-discussion-service,com.igot.cb.authentication.util,Base64Util,36,134,4,16,8,27,6,13,2,6
cb-discussion-service,com.igot.cb.authentication.util,Base64Util.Encoder,259,866,37,33,27,61,28,12,1,3
cb-discussion-service,com.igot.cb.authentication.util,Base64Util.Coder,0,3,0,0,0,1,0,1,0,1
cb-discussion-service,com.igot.cb.pores.elasticsearch.service,EsUtilServiceImpl.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
cb-discussion-service,com.igot.cb.pores.elasticsearch.service,EsUtilServiceImpl.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
cb-discussion-service,com.igot.cb.pores.elasticsearch.service,EsUtilServiceImpl.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
cb-discussion-service,com.igot.cb.pores.elasticsearch.service,EsUtilServiceImpl,921,870,92,57,145,210,109,55,43,41
